CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0107,0.9964160629333633
C0001,C0137,0.9957000029067153
C0001,C0190,0.9897669426714507
C0002,C0142,0.9887986276382209
C0002,C0177,0.9665054843287146
C0002,C0185,0.9513671519805775
C0003,C0189,0.9663449212719496
C0003,C0133,0.9639721457875144
C0003,C0174,0.9518828279691799
C0004,C0113,0.9950141093849689
C0004,C0102,0.9835928774397132
C0004,C0165,0.9762195619743641
C0005,C0185,0.9975070362104174
C0005,C0159,0.9969876736870634
C0005,C0140,0.9869414640620454
C0006,C0168,0.9754290315127764
C0006,C0048,0.9627599759935872
C0006,C0186,0.9596221458824507
C0007,C0159,0.9885449156558979
C0007,C0005,0.9868551577843029
C0007,C0115,0.9831446127812813
C0008,C0109,0.9251728624528819
C0008,C0068,0.9152451511526558
C0008,C0098,0.9098767953777046
C0009,C0197,0.9904450554756707
C0009,C0063,0.9786381398416025
C0009,C0014,0.9731452838370526
C0010,C0166,0.9832367748277809
C0010,C0198,0.9735908952016233
C0010,C0073,0.9668859506229853
C0011,C0107,0.995063364744912
C0011,C0048,0.9949454856521012
C0011,C0001,0.9886540744006409
C0012,C0155,0.990546618600189
C0012,C0013,0.9849235776725346
C0012,C0102,0.9827303982506489
C0013,C0155,0.9921034257097613
C0013,C0012,0.9849235776725346
C0013,C0104,0.9842353831377146
C0014,C0060,0.9995235534158808
C0014,C0197,0.9936908605687134
C0014,C0063,0.9863828136925823
C0015,C0020,0.9940224184241139
C0015,C0058,0.9905026619175443
C0015,C0033,0.9894484548020197
C0016,C0182,0.9876948737242967
C0016,C0154,0.9720909301428635
C0016,C0117,0.9632924632100219
C0017,C0124,0.9834717633265205
C0017,C0075,0.964949875223479
C0017,C0041,0.952281590237034
C0018,C0046,0.9268806452565846
C0018,C0122,0.9253294504794923
C0018,C0067,0.9244769335596382
C0019,C0172,0.9971272836999049
C0019,C0127,0.9627816225194765
C0019,C0069,0.9568419623145136
C0020,C0058,0.9957496926049497
C0020,C0033,0.9945305653099176
C0020,C0015,0.9940224184241139
